config,completion time,mean,stdev,norm dist
100_10,217.55,220.852,3.479025406,0.171280712
100_10,217.69,220.852,3.479025406,0.181707996
100_10,217.96,220.852,3.479025406,0.202911326
100_10,218.15,220.852,3.479025406,0.218681382
100_10,219.05,220.852,3.479025406,0.302242688
100_10,221.31,220.852,3.479025406,0.552367875
100_10,221.51,220.852,3.479025406,0.575005879
100_10,222.19,220.852,3.479025406,0.64972957
100_10,225.65,220.852,3.479025406,0.916071408
100_10,227.46,220.852,3.479025406,0.971242899
